date,open,close,high,low,volume
2021-05-17,5115.31,5184.99,5206.69,5115.31,15388.96
2021-05-18,5190.93,5187.6,5201.67,5156.79,11840.43
2021-05-19,5173.17,5172.27,5193.56,5151.64,11873.0
2021-05-20,5167.05,5186.41,5201.59,5152.04,13845.48
2021-05-21,5199.13,5134.15,5216.16,5123.12,12476.85
2021-05-24,5138.81,5155.59,5155.59,5092.39,12674.23
2021-05-25,5165.04,5318.48,5324.36,5161.52,18299.68
2021-05-26,5326.12,5320.59,5344.28,5308.74,16960.71
2021-05-27,5311.37,5338.23,5378.48,5286.05,14846.29
2021-05-28,5338.73,5321.09,5360.28,5288.65,16460.58
2021-05-31,5318.08,5331.57,5331.63,5281.69,14460.33
2021-06-01,5320.47,5341.68,5343.75,5269.26,14383.15
2021-06-02,5348.34,5289.97,5352.64,5266.79,13775.43
2021-06-03,5285.71,5255.29,5314.37,5255.07,14196.89
2021-06-04,5228.28,5282.28,5334.49,5221.23,14473.21
2021-06-07,5284.89,5277.63,5286.84,5242.95,12770.5
2021-06-08,5276.97,5232.12,5319.04,5201.14,13055.95
2021-06-09,5224.95,5236.45,5253.36,5215.35,12182.03
2021-06-10,5236.47,5271.47,5299.53,5229.52,13899.2
2021-06-11,5275.75,5224.7,5276.1,5213.6,18080.72
2021-06-15,5218.56,5166.56,5225.5,5137.41,14288.01
2021-06-16,5163.25,5080.49,5164.52,5076.02,12514.8
2021-06-17,5074.38,5101.89,5123.37,5073.82,12045.25
2021-06-18,5104.93,5102.47,5128.03,5064.92,14858.58
2021-06-21,5088.09,5090.39,5123.78,5058.57,13218.45
2021-06-22,5106.07,5122.16,5125.82,5086.28,13041.68
2021-06-23,5127.19,5147.39,5171.03,5109.76,13635.61
2021-06-24,5156.56,5155.97,5160.43,5120.58,12668.56
2021-06-25,5159.8,5239.97,5251.61,5157.48,15493.11
2021-06-28,5253.61,5251.76,5260.64,5226.22,13319.38
2021-06-29,5248.52,5190.54,5248.52,5182.68,12516.3
2021-06-30,5189.38,5224.04,5231.43,5186.63,10375.27
2021-07-01,5241.2,5229.66,5252.26,5190.88,12724.06
2021-07-02,5186.66,5081.12,5186.66,5074.36,13042.64
2021-07-05,5073.78,5085.79,5098.23,5048.0,13121.16
2021-07-06,5089.78,5083.1,5092.21,5028.51,14065.52
2021-07-07,5052.42,5140.49,5152.77,5045.41,14854.91
2021-07-08,5149.31,5088.26,5151.22,5078.93,17390.1
2021-07-09,5063.15,5069.44,5081.41,5006.41,16065.32
2021-07-12,5108.38,5132.71,5159.41,5070.32,20621.2
2021-07-13,5128.61,5142.1,5154.05,5114.94,16648.22
2021-07-14,5130.75,5083.08,5130.75,5075.13,18835.27
2021-07-15,5073.26,5151.46,5153.81,5067.68,18107.71
2021-07-16,5140.9,5094.77,5140.9,5090.63,16995.6
2021-07-19,5083.73,5113.49,5120.82,5047.62,15319.96
2021-07-20,5080.22,5108.99,5114.0,5067.86,12930.0
2021-07-21,5122.78,5144.04,5160.54,5122.3,16797.65
2021-07-22,5150.39,5151.75,5171.21,5137.88,18555.69
2021-07-23,5145.43,5089.23,5145.43,5080.0,21653.68
2021-07-26,5067.31,4925.3,5067.31,4859.6,22811.17
2021-07-27,4924.28,4751.31,4940.86,4749.03,23663.12
2021-07-28,4714.29,4760.48,4785.66,4663.9,19263.44
2021-07-29,4845.76,4850.27,4857.97,4800.01,17332.21
2021-07-30,4825.7,4811.17,4825.7,4761.04,18234.98
2021-08-02,4794.82,4933.74,4938.82,4761.46,22719.49
2021-08-03,4909.23,4934.46,4957.03,4890.85,20353.34
2021-08-04,4927.74,4978.85,4979.29,4919.66,17546.65
2021-08-05,4946.17,4948.67,4997.14,4921.94,16738.18
2021-08-06,4943.04,4921.56,4944.35,4891.8,15417.97
2021-08-09,4890.26,4985.56,5002.89,4884.04,18243.69
2021-08-10,4977.82,5043.15,5043.76,4941.24,16705.19
2021-08-11,5037.08,5015.34,5059.79,5009.98,18226.61
2021-08-12,4998.07,4973.35,5016.26,4962.99,16822.37
2021-08-13,4958.76,4945.98,4993.74,4921.28,15831.43
2021-08-16,4935.92,4941.07,4973.38,4931.37,16195.34
2021-08-17,4935.0,4837.4,4967.56,4823.39,18757.35
2021-08-18,4838.47,4894.24,4909.54,4818.9,19747.44
2021-08-19,4886.56,4862.14,4893.47,4839.57,20171.17
2021-08-20,4817.49,4769.27,4835.15,4720.83,17763.58
2021-08-23,4777.73,4835.88,4843.82,4764.01,16757.91
2021-08-24,4844.59,4888.39,4906.2,4842.75,19788.32
2021-08-25,4890.52,4898.16,4899.77,4865.76,18944.8
2021-08-26,4892.2,4801.61,4892.2,4798.7,19761.74
2021-08-27,4794.97,4827.04,4863.47,4793.59,18331.02
2021-08-30,4847.03,4813.27,4849.16,4787.2,21963.58
2021-08-31,4803.09,4805.61,4821.76,4740.75,23511.87
2021-09-01,4804.69,4869.46,4906.4,4763.3,32672.11
2021-09-02,4865.82,4869.41,4892.7,4845.62,26785.8
2021-09-03,4875.07,4843.06,4886.55,4828.7,26809.19
2021-09-06,4841.06,4933.73,4944.45,4837.79,24050.72
2021-09-07,4932.98,4992.83,5005.96,4915.61,24417.85
2021-09-08,4986.8,4972.13,5013.98,4955.89,26461.53
2021-09-09,4952.49,4970.01,4970.15,4929.95,25653.02
2021-09-10,4967.98,5013.52,5042.8,4962.37,28830.44
2021-09-13,5006.77,4991.66,5029.72,4964.96,24991.53
2021-09-14,4989.83,4917.16,5000.98,4907.32,24559.04
2021-09-15,4903.85,4867.32,4903.85,4843.12,18798.47
2021-09-16,4866.79,4807.7,4879.53,4806.14,21675.21
2021-09-17,4797.11,4855.94,4857.96,4786.09,20195.81
2021-09-22,4770.73,4821.77,4830.85,4765.23,19122.04
2021-09-23,4848.22,4853.2,4877.34,4837.56,22815.11
2021-09-24,4845.64,4849.43,4897.06,4838.54,20769.33
2021-09-27,4870.85,4877.37,4922.56,4852.2,21596.7
2021-09-28,4869.08,4883.83,4901.31,4846.63,17689.09
2021-09-29,4846.02,4833.93,4868.07,4799.88,18817.14
2021-09-30,4843.95,4866.38,4876.07,4843.95,14611.39
2021-10-08,4915.73,4929.94,4937.09,4891.62,16896.81
2021-10-11,4941.29,4936.19,4983.73,4930.71,16351.16
2021-10-12,4920.66,4883.84,4925.49,4840.77,16807.93
2021-10-13,4880.14,4940.11,4953.37,4869.83,13114.28
2021-10-14,4934.26,4913.61,4953.92,4903.25,11955.7
2021-10-15,4896.56,4932.11,4939.82,4881.01,14282.2
2021-10-18,4922.51,4874.78,4922.51,4844.94,14124.52
2021-10-19,4869.39,4922.72,4928.14,4868.81,13526.65
2021-10-20,4926.77,4910.18,4944.02,4898.37,14153.32
2021-10-21,4914.74,4928.02,4946.18,4893.85,14889.82
2021-10-22,4934.87,4959.73,4989.89,4934.87,14392.62
2021-10-25,4940.9,4979.52,4981.65,4930.11,14186.15
2021-10-26,4983.24,4963.1,5002.57,4953.48,14088.89
2021-10-27,4949.23,4898.16,4949.23,4884.94,14711.16
2021-10-28,4882.59,4864.14,4898.66,4846.28,15664.95
2021-10-29,4861.27,4908.77,4908.77,4855.76,15988.74
2021-11-01,4878.13,4890.69,4908.21,4858.25,17158.4
