,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
152,2026-06-15,000300,沪深300,CSI 300,600372,中航机载,"AVIC Airborne Systems Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
153,2026-06-15,000300,沪深300,CSI 300,600406,国电南瑞,"NARI Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
154,2026-06-15,000300,沪深300,CSI 300,600415,小商品城,Zhejiang China Commodities City Group Co Ltd,上海证券交易所,Shanghai Stock Exchange
155,2026-06-15,000300,沪深300,CSI 300,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,上海证券交易所,Shanghai Stock Exchange
156,2026-06-15,000300,沪深300,CSI 300,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,上海证券交易所,Shanghai Stock Exchange
157,2026-06-15,000300,沪深300,CSI 300,600438,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai Stock Exchange
158,2026-06-15,000300,沪深300,CSI 300,600460,士兰微,Hangzhou Silan Microelectronics Co Ltd,上海证券交易所,Shanghai Stock Exchange
159,2026-06-15,000300,沪深300,CSI 300,600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
160,2026-06-15,000300,沪深300,CSI 300,600489,中金黄金,Zhongjin Gold Co Ltd,上海证券交易所,Shanghai Stock Exchange
161,2026-06-15,000300,沪深300,CSI 300,600515,海南机场,"Hainan Airport Infrastructure Co., Ltd",上海证券交易所,Shanghai Stock Exchange
162,2026-06-15,000300,沪深300,CSI 300,600519,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai Stock Exchange
163,2026-06-15,000300,沪深300,CSI 300,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,上海证券交易所,Shanghai Stock Exchange
164,2026-06-15,000300,沪深300,CSI 300,600547,山东黄金,Shandong Gold-Mining Co Ltd,上海证券交易所,Shanghai Stock Exchange
165,2026-06-15,000300,沪深300,CSI 300,600549,厦门钨业,Xiamen Tungsten Co Ltd,上海证券交易所,Shanghai Stock Exchange
166,2026-06-15,000300,沪深300,CSI 300,600570,恒生电子,Hundsun Technologies Inc.,上海证券交易所,Shanghai Stock Exchange
167,2026-06-15,000300,沪深300,CSI 300,600584,长电科技,"JCET Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
168,2026-06-15,000300,沪深300,CSI 300,600585,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai Stock Exchange
169,2026-06-15,000300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
170,2026-06-15,000300,沪深300,CSI 300,600600,青岛啤酒,Tsingtao Brewery Co Ltd,上海证券交易所,Shanghai Stock Exchange
171,2026-06-15,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
172,2026-06-15,000300,沪深300,CSI 300,600674,川投能源,Sichuan Chuantou Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange
173,2026-06-15,000300,沪深300,CSI 300,600690,海尔智家,"Haier Smart Home Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
174,2026-06-15,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai Stock Exchange
